,n1,n2,n3,n4,n6,n7,n8,n9,n10,n11,n13,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n39,n40,n41,n42,n43,n44,n45,n343,n344,n345,n346,n347,n349,n350,n351,n352,n353,n354,n355,n356,n357,n358,n360,n361,n362,n364,n365,n366,n367,n368,n369,n370,n371,n372,n373,n374,n375,n376,n377,n378,n379,n381,n382,n383,n384,n385,n386,n387,n388,n389
00:00:00,303.79,128.21,165.42,870.24,207.94,291.24,249.48,352.92,62.72,413.28,152.22,70.79,315.07,53.67,95.87,107.07,44.88,120.73,128.82,36.82,1467.14,29.15,105.66,369.59,37.9,229.67,95.49,63.15,131.97,76.74,52.89,201.93,12.13,242.41,112.19,167.23,94.81,28.51,219.27,119.83,181.36,36.48,126.05,12.65,40.93,150.91,336.12,90.79,208.58,97.1,298.31,96.55,83.24,386.34,187.7,99.05,4.77,66.05,95.06,123.15,128.88,86.48,136.92,275.14,60.68,26.8,23.08,85.98,50.25,87.36,349.57,9.42,74.34,160.8,110.88,65.69,163.61,36.17,218.59,115.59,371.33,123.43
00:05:00,296.99,119.0,160.57,863.9,198.74,283.79,223.95,338.37,58.36,382.76,148.07,67.45,301.14,52.54,92.7,99.63,41.56,118.79,124.84,34.46,1482.33,28.16,106.44,380.65,36.35,222.94,89.24,59.1,133.91,74.77,51.12,188.71,11.73,245.57,113.99,169.9,87.1,26.46,204.02,112.3,184.26,35.57,118.4,12.55,41.58,148.28,317.55,96.37,200.04,95.05,290.65,90.5,86.83,389.2,190.15,94.96,4.7,64.36,89.35,126.5,121.1,80.27,139.16,279.0,57.81,26.07,21.47,83.04,47.24,89.8,341.68,9.68,69.17,149.61,113.19,58.97,168.42,33.97,206.51,117.48,364.62,121.34
00:10:00,291.81,124.46,153.34,831.61,203.06,289.75,226.74,314.89,59.76,368.14,137.09,63.6,307.68,48.68,89.72,95.73,39.97,119.96,121.33,34.07,1485.44,27.09,101.84,372.84,35.66,212.89,93.29,58.43,127.71,74.07,52.06,197.28,11.35,235.38,108.25,161.35,83.59,27.68,196.05,117.0,174.99,33.84,111.86,12.62,39.49,142.77,317.04,89.36,196.23,88.06,287.92,85.53,81.87,372.39,182.25,88.37,4.32,65.71,89.59,116.97,123.26,83.96,136.24,269.53,54.51,24.14,20.63,82.08,47.36,82.09,346.87,8.95,66.46,153.21,105.74,59.71,161.83,32.1,206.18,115.01,368.54,119.97
00:15:00,275.19,117.79,152.73,782.9,192.07,261.64,209.18,323.71,58.06,370.09,141.45,65.01,291.03,48.17,82.9,97.73,40.19,116.74,120.71,34.09,1517.7,27.55,101.01,385.98,34.76,212.06,90.07,58.46,127.05,71.05,52.37,190.48,10.49,221.01,107.34,159.99,84.64,26.19,200.13,110.62,173.51,34.94,116.71,12.61,39.16,132.27,297.24,83.76,191.26,87.13,276.18,79.32,79.53,369.36,171.13,90.85,4.34,59.34,77.55,110.0,119.29,79.45,128.05,271.31,55.72,24.91,21.06,77.77,41.0,83.5,345.87,8.42,67.85,148.84,105.87,55.08,155.44,33.49,193.3,108.1,340.26,115.88
00:20:00,269.47,115.58,154.02,731.21,199.96,269.51,222.96,323.18,56.0,354.97,135.99,61.97,302.98,45.74,81.24,95.22,38.54,109.72,118.02,30.75,1546.18,26.28,100.92,350.94,32.68,213.85,83.39,52.74,136.86,68.62,50.27,176.35,10.28,211.32,102.45,152.7,82.13,25.7,194.99,109.01,165.61,34.76,110.97,12.52,37.37,143.45,304.0,83.48,179.85,82.74,266.74,80.17,78.44,369.04,163.62,90.7,4.39,61.12,81.69,111.17,117.57,77.96,118.37,270.45,53.12,23.95,20.52,79.21,43.18,78.2,349.7,8.51,66.11,143.56,103.27,58.71,149.12,31.84,197.7,99.93,354.23,108.19
00:25:00,257.86,106.28,145.11,672.14,182.34,270.94,210.54,290.78,52.61,348.83,129.14,65.02,276.29,46.9,78.1,92.64,37.88,111.77,117.34,31.9,1558.39,26.58,97.22,360.39,33.83,201.47,82.25,54.71,123.2,69.39,50.54,173.94,9.88,211.91,96.03,143.13,77.19,23.63,189.7,100.62,155.23,31.0,109.8,12.4,35.03,127.09,293.33,80.46,186.16,84.85,269.73,78.53,75.68,355.52,164.08,81.61,3.99,61.44,76.21,108.54,112.38,71.69,126.89,269.77,55.73,22.74,19.96,78.48,40.29,78.49,331.6,8.3,64.31,134.86,98.96,55.44,151.73,31.5,190.76,107.12,342.91,108.83
00:30:00,247.97,105.9,144.57,600.31,174.66,248.53,202.29,280.15,52.56,342.44,132.37,57.85,264.64,46.07,76.02,87.03,37.18,104.72,119.73,29.8,1611.13,25.4,91.36,348.18,31.13,200.72,78.6,51.11,127.61,65.97,47.72,166.22,9.62,209.15,94.76,141.23,75.2,23.55,178.22,100.22,153.17,32.07,100.98,12.02,34.57,124.73,283.37,75.84,171.28,83.34,256.44,76.39,73.17,334.08,161.94,78.62,3.75,56.36,75.61,102.16,116.01,71.43,121.16,257.54,49.58,23.31,18.76,71.63,39.97,76.61,329.76,7.82,60.42,134.74,97.72,53.27,130.69,28.97,184.28,102.28,330.16,101.91
00:35:00,234.27,103.86,135.54,530.16,175.93,246.43,190.82,281.32,51.57,320.01,120.89,56.62,266.57,43.13,75.09,85.37,34.75,103.02,112.57,28.69,1663.33,26.18,90.75,351.54,31.56,188.18,77.86,49.21,123.96,63.76,48.76,164.65,9.5,196.62,93.44,139.28,77.14,23.1,174.82,98.88,151.05,31.92,92.74,12.07,34.09,119.28,269.28,77.83,173.69,78.02,247.86,75.89,70.45,331.85,152.24,78.95,4.0,55.88,75.76,104.77,108.92,70.06,116.05,256.32,48.53,21.29,18.4,72.44,40.05,69.43,332.43,8.02,59.27,132.21,98.65,50.25,132.88,26.61,175.12,97.97,325.09,102.84
00:40:00,224.4,98.69,138.74,473.79,162.03,235.45,190.09,263.38,49.66,326.38,123.47,55.77,245.5,42.3,72.37,79.82,35.44,104.15,108.35,28.44,1720.38,24.5,89.8,350.11,29.98,192.63,71.19,48.77,122.33,64.01,48.61,150.54,9.16,194.09,89.41,133.26,70.08,21.95,163.46,94.05,144.53,28.31,93.69,12.02,32.62,116.22,260.55,73.17,164.96,76.52,248.81,74.01,72.39,328.39,150.29,73.92,3.74,53.39,78.03,96.41,106.97,66.57,107.32,247.83,47.8,21.74,17.2,68.62,41.25,67.07,319.31,7.38,55.42,127.31,90.56,50.06,125.74,26.88,169.44,90.6,318.64,95.74
00:45:00,217.08,95.31,130.79,416.45,151.64,220.43,185.72,261.03,46.84,312.98,114.5,50.89,229.76,41.01,74.25,84.29,33.98,98.34,110.48,28.28,1820.44,25.61,81.85,357.38,29.11,181.59,71.66,48.49,122.74,60.0,47.75,151.54,9.39,188.5,86.42,128.81,69.2,21.19,172.61,91.11,139.7,28.32,92.31,11.9,31.53,112.7,259.36,69.01,160.22,74.2,233.24,73.34,65.9,299.29,145.96,73.26,3.83,49.99,67.79,98.69,106.74,64.29,108.34,248.51,43.61,20.16,18.17,61.65,35.84,66.77,309.8,7.55,58.52,120.09,91.6,48.91,118.39,26.48,168.67,91.46,309.21,95.77
