Date,2018,2019,2020
1-Jan,6.87,5.93,0
2-Jan,9.53,12.64,0.41
3-Jan,14.56,11.26,19.37
4-Jan,3.42,28.11,14.57
5-Jan,6.75,3.13,17.18
6-Jan,16.51,6.22,0.18
7-Jan,12.46,1.41,0.15
8-Jan,9.97,6.76,13.2
9-Jan,9.24,3.09,3.07
10-Jan,2.24,14.22,0.13
11-Jan,0,11.85,3.26
12-Jan,0,0.12,3.23
13-Jan,0,14.42,0
14-Jan,0,12.22,0
15-Jan,0,0.78,0.18
16-Jan,0,1.61,3.28
17-Jan,0,4.02,1.59
18-Jan,0,1.42,2.96
19-Jan,0,3.82,10.6
20-Jan,0,6.53,20.77
21-Jan,0,3.55,21.45
22-Jan,0,5.18,3.23
23-Jan,1.17,1.84,22.12
24-Jan,0.2,6.07,13.67
25-Jan,2.9,4.63,3.09
26-Jan,4.67,0,7.37
27-Jan,0.05,0,0
28-Jan,0,0,0
29-Jan,4.1,0,0
30-Jan,0.51,0,0
31-Jan,0,0,0.17
1-Feb,0,0,1.06
2-Feb,0,0,29.36
3-Feb,0,0.23,0
4-Feb,0.77,0.49,2.38
5-Feb,0.07,0,40.4
6-Feb,0.11,0.49,26.85
7-Feb,5.9,0,12.33
8-Feb,0,1.3,0
9-Feb,0,0.34,0
10-Feb,0,4.7,9.02
11-Feb,0,11.77,0
12-Feb,0,15.14,0.24
13-Feb,1.32,5.05,8.37
14-Feb,0,0,0
15-Feb,0,2.06,0.09
16-Feb,3.53,2.9,1.13
17-Feb,0,0.25,1.37
18-Feb,0,0,12.08
19-Feb,0,1.54,0.57
20-Feb,0.21,1.83,0
21-Feb,4.7,4.71,3.52
22-Feb,0.55,2.09,4.03
23-Feb,0,0,18.29
24-Feb,2.64,3.4,10.84
25-Feb,8.5,0.38,0
26-Feb,0,0.11,0
27-Feb,0,4.77,0
28-Feb,0,35.68,2.09
1-Mar,0,5.8,2.03
2-Mar,0,18.71,0.26
3-Mar,1.19,1.04,0
4-Mar,0.69,0.18,0
5-Mar,0,0,0.82
6-Mar,0,0,2.88
7-Mar,0,1.56,0
8-Mar,0,3.96,0
9-Mar,2.18,2.71,0.71
10-Mar,1.01,3.6,0.33
11-Mar,0,0.98,0
12-Mar,2.95,0,0.37
13-Mar,0.21,1.52,7.41
14-Mar,0.9,0.21,8.18
15-Mar,0,0,0.34
16-Mar,0,0,1.46
17-Mar,0,0.76,0.9
18-Mar,13.04,0.6,0.76
19-Mar,22.15,2.2,1.89
20-Mar,10.63,8.9,3.54
21-Mar,5.05,1.41,4.34
22-Mar,3.83,0,0
23-Mar,0.32,15.05,0
24-Mar,0,26.19,0
25-Mar,2.43,4.68,0.1
26-Mar,0,10.47,9.57
27-Mar,0,1.61,0
28-Mar,0,0.08,2.26
29-Mar,0,18.38,10.02
30-Mar,0,12.29,17.45
31-Mar,0,10.87,0.87
1-Apr,0,0,10.22
2-Apr,0,0,8.1
3-Apr,0,0,2.33
4-Apr,0.49,0,9.89
5-Apr,17.49,0,9.3
6-Apr,3.16,0,0
7-Apr,0.31,0.1,0
8-Apr,0.47,0,3.21
9-Apr,0.07,0,6.95
10-Apr,0,0,8.96
11-Apr,0,0,10.2
12-Apr,0,0,2.46
13-Apr,0,0,15.08
14-Apr,0,0,15.46
15-Apr,0,0,12.8
16-Apr,0,0,30.55
17-Apr,0,0,12.66
18-Apr,2.39,0,4.94
19-Apr,0,0,1.39
20-Apr,7.73,0,0
21-Apr,9.18,0.98,0
22-Apr,1.51,0,0
23-Apr,3.26,0,0
24-Apr,0.76,0,0.85
25-Apr,1.26,0,4.99
26-Apr,5.19,0,4.31
27-Apr,7.75,0,0
28-Apr,2.26,0,0
29-Apr,0.06,3.77,0
30-Apr,0,4.96,0
1-May,0,16,0
2-May,0,1.42,0
3-May,2.62,1.82,2.52
4-May,0.32,18.65,9.34
5-May,1.33,10.26,2.75
6-May,2.98,0,0.33
7-May,1.21,0.24,11.02
8-May,0,0,0
9-May,0,0,5.94
10-May,0,5.4,1.18
11-May,14.42,14.69,11.14
12-May,0,1.21,12.85
13-May,0,3.34,11.66
14-May,0,1.77,12.26
15-May,0,1.21,5.92
16-May,1.33,0,5.69
17-May,0,0,1.49
18-May,0.06,0,4.26
19-May,0,0.41,9.66
20-May,0,0,10.61
21-May,0,0,0
22-May,0,0.13,0
23-May,0,2.18,0.26
24-May,0,0,0
25-May,0,0.83,0
26-May,0,2.65,0.15
27-May,0,0.88,0.43
28-May,0,6.14,2.28
29-May,0,0.68,2.75
30-May,0,11.19,0
31-May,0,31.12,0
1-Jun,6.55,0,0
2-Jun,0,0.26,0
3-Jun,0.12,1.17,0
4-Jun,2.44,0,11.12
5-Jun,1.17,0.42,0
6-Jun,0,0,0
7-Jun,4.88,15.02,4.15
8-Jun,1.98,0.76,15.32
9-Jun,0,8.57,1.83
10-Jun,0,5.17,0
11-Jun,0,0,0
12-Jun,0,0,0
13-Jun,0.69,9.96,0
14-Jun,0.05,0,0
15-Jun,0.19,0,0
16-Jun,0,0,0
17-Jun,0,5.44,0
18-Jun,2.33,7.35,0
19-Jun,6.78,1.96,0
20-Jun,0,10.03,0
21-Jun,2.46,15.01,0
22-Jun,7.25,2.44,0
23-Jun,2.96,1.91,0
24-Jun,3.94,0,0
25-Jun,1,1.96,0
26-Jun,0,0,0
27-Jun,0,9.29,0
28-Jun,5.74,11.04,0
29-Jun,0.76,14.82,4.77
30-Jun,0,10.93,7.02
1-Jul,0,7.52,3.24
2-Jul,0,2.89,3.37
3-Jul,0,12.33,0
4-Jul,0.05,13.4,3.92
5-Jul,0.06,3.54,1.07
6-Jul,0.25,0.26,5.24
7-Jul,1.14,0.35,8.32
8-Jul,1.14,6.25,3.74
9-Jul,9.3,0.17,7.05
10-Jul,0,0,1.46
11-Jul,0,0,10.31
12-Jul,0,0,3.44
13-Jul,0,0.08,18.04
14-Jul,0,1.01,0.11
15-Jul,0,12.23,4.16
16-Jul,0,0,5.06
17-Jul,1.03,0.07,0
18-Jul,1.53,0,8.46
19-Jul,8.42,0,8.81
20-Jul,4,0.08,5.36
21-Jul,2.87,9.22,8.37
22-Jul,0.07,0.55,5.24
23-Jul,1.89,0.13,2.35
24-Jul,0.3,0,5.57
25-Jul,1.66,0,23.42
26-Jul,0,0,0.71
27-Jul,0,0,0
28-Jul,0.13,0,16.02
29-Jul,0.08,0,0.14
30-Jul,0,0,0.77
31-Jul,0,0,0
1-Aug,0.99,0,0
