City,lat,lng,Administration,Status,Population
Oslo,59.9111,10.7528,Oslo,primary,693494
Bergen,60.3925,5.3233,Hordaland,admin,257087
Trondheim,63.44,10.4,Sor Trondelag,minor,183378
Stavanger,58.9701,5.7333,Rogaland,admin,129300
Drammen,59.7439,10.2045,Buskerud,minor,117510
Kristiansand,58.1467,7.9956,Vest Agder,minor,111633
Fredrikstad,59.2167,10.95,Ostfold,minor,82385
Skien,59.2096,9.609,Telemark,admin,73330
Sandefjord,59.1288,10.2197,Vestfold,,63764
Asker,59.8331,10.4392,Akershus,minor,61523
Nordre Fale,59.75,10.8667,Akershus,,59288
Sandnes,58.85,5.7333,Rogaland,minor,58694
Tonsberg,59.2981,10.4236,Vestfold,minor,56293
Sarpsborg,59.2839,11.1096,Ostfold,minor,54678
Alesund,62.4723,6.1549,More og Romsdal,minor,52163
Bodo,67.2833,14.3833,Nordland,admin,51558
Moss,59.434,10.6577,Ostfold,minor,49273
Lorenskog,59.8989,10.9642,Akershus,minor,41460
Tromso,69.6546,18.9637,Troms,admin,38980
Haugesund,59.4102,5.2755,Rogaland,minor,37357
Porsgrunn,59.1419,9.6568,Telemark,minor,36397
Ringsaker,61.0242,10.8019,Hedmark,,34768
Molde,62.7333,7.1833,More og Romsdal,admin,31967
Halden,59.1264,11.4828,Ostfold,minor,31373
Arendal,58.4617,8.7721,Aust Agder,admin,30916
Ski,59.7419,10.8939,Akershus,minor,30843
Askoy,60.4667,5.15,Hordaland,,29553
Lillehammer,61.1146,10.4674,Oppland,minor,28345
Hamar,60.7944,11.0678,Hedmark,admin,27947
Kongsberg,59.665,9.6464,Buskerud,minor,27723
Oppegard,59.7925,10.7903,Akershus,,27394
Sola,58.88,5.6286,Rogaland,minor,27153
Lier,59.8675,10.2142,Buskerud,minor,26811
Eidsvoll,60.3475,11.2508,Akershus,,25436
Nedre Eiker,59.7647,10.0333,Buskerud,,24963
Larvik,59.0532,10.0271,Vestfold,,24647
Nittedal,60.0731,10.8722,Akershus,minor,24249
Stjordal,63.475,11.1708,Nord Trondelag,minor,24145
Royken,59.7336,10.4289,Buskerud,minor,22635
Notteroy,59.2011,10.4078,Vestfold,,21621
Elverum,60.8833,11.5667,Hedmark,minor,21292
Harstad,68.7989,16.5314,Troms,minor,21070
Stange,60.6494,11.3664,Hedmark,minor,21064
Gjovik,60.7957,10.6916,Oppland,minor,20589
Horten,59.4172,10.4834,Vestfold,,20504
As,59.6603,10.7836,Akershus,minor,20439
Os,60.2269,5.4758,Hordaland,minor,19742
Nesoddtangen,59.8086,10.6556,Oslo,minor,19616
Kleppe,58.7772,5.5967,Rogaland,minor,19588
Time,58.7228,5.7653,Rogaland,,18916
Mo i Rana,66.3167,14.1667,Nordland,minor,18899
Stord,59.8081,5.4664,Hordaland,minor,18759
Kristiansund,63.1105,7.7279,More og Romsdal,minor,18273
Sorum,59.9871,11.2402,Akershus,,18263
Vestby,59.575,10.7319,Akershus,,18042
Kosvik,58.1418,8.0802,Vest Agder,,17981
Kongsvinger,60.1912,11.9992,Hedmark,minor,17829
Rygge,59.3747,10.7147,Ostfold,minor,16145
Frogn,59.6989,10.6553,Akershus,,15877
Voss,60.7025,6.4231,Hordaland,minor,15740
Lindas,60.6247,5.3283,Hordaland,,15607
Mandal,58.0333,7.4833,Vest Agder,minor,15529
Alta,69.9686,23.2714,Finnmark,minor,15342
Verdal,63.7922,11.4817,Nord Trondelag,minor,14948
Vennesla,58.3106,7.8569,Vest Agder,minor,14774
Askim,59.5832,11.1629,Ostfold,minor,14488
Malvik,63.3728,10.7508,Sor Trondelag,,14148
Narvik,68.4383,17.4278,Nordland,minor,14148
Nannestad,60.2456,10.9528,Akershus,minor,14139
Bamble,59.0197,9.5608,Telemark,,14061
Gran,60.4411,10.4956,Oppland,,13630
Drobak,59.6667,10.6333,Akershus,,13393
Grimstad,58.3405,8.5934,Aust Agder,minor,13304
Notodden,59.5617,9.2658,Telemark,minor,13049
Steinkjer,64.0147,11.4942,Nord Trondelag,admin,12985
Strand,59.0633,6.0278,Rogaland,,12968
Bomlo,59.7794,5.2183,Hordaland,,11957
Sogndal,61.2297,7.1006,Sogn og Fjordane,minor,11847
Stokke,59.24,10.2708,Vestfold,,11657
Lenvik,69.3836,17.9675,Troms,,11618
Egersund,58.45,6.0067,Rogaland,minor,11433
Eidsberg,59.5369,11.3603,Ostfold,,11396
Sogne,58.0942,7.7725,Vest Agder,minor,11260
Randaberg,59.0017,5.6153,Rogaland,minor,11221
Lommedalen,59.95,10.4667,Oslo,,11200
Enebakk,59.7639,11.1444,Akershus,,11110
Tysvaer,59.3617,5.5428,Rogaland,,11065
Orsta,62.2003,6.1322,More og Romsdal,minor,10825
Sortland,68.6962,15.4117,Nordland,minor,10566
Volda,62.1468,6.068,More og Romsdal,minor,10473
Kragero,58.8869,9.3469,Telemark,minor,10380
Lyngdal,58.1333,7.0833,Vest Agder,minor,10365
Forde,61.4519,5.8569,Sogn og Fjordane,minor,10339
Levanger,63.7464,11.2996,Nord Trondelag,minor,10333
Sande,59.5936,10.2076,Vestfold,,9904
Fauske,67.2596,15.3941,Nordland,minor,9739
Farsund,58.0828,6.7528,Vest Agder,minor,9691
Haram,62.5675,6.3722,More og Romsdal,,9200
Lunner,60.2528,10.6672,Oppland,,9048
Flekkefjord,58.3272,6.6667,Vest Agder,minor,9028
Floro,61.5986,5.0172,Sogn og Fjordane,minor,8925
Ulstein,62.3564,5.8539,More og Romsdal,,8571
Namsos,64.467,11.494,Nord Trondelag,minor,8471
Rakkestad,59.3731,11.4203,Ostfold,minor,8255
Hammerfest,70.6634,23.6821,Finnmark,minor,8073
Lillesand,58.2488,8.3778,Aust Agder,minor,7930
Akrehamn,59.2603,5.1856,Rogaland,,7873
Meland,60.5642,5.1186,Hordaland,,7812
Loten,60.8253,11.3908,Hedmark,minor,7674
Sykkylven,62.3756,6.6442,More og Romsdal,minor,7625
Holmestrand,59.4875,10.3175,Vestfold,,7514
Rade,59.3489,10.855,Ostfold,minor,7508
Alstahaug,65.9567,12.5728,Nordland,,7447
Asnes,60.6536,12.1531,Hedmark,,7203
Stryn,61.8386,6.8628,Sogn og Fjordane,minor,7130
Sunndalsora,62.6128,8.6342,More og Romsdal,minor,7036
Oppdal,62.5667,9.6,Sor Trondelag,minor,7001
Jevnaker,60.2389,10.3931,Oppland,minor,6852
Risor,58.7247,9.23,Aust Agder,minor,6809
Svelvik,59.6236,10.3717,Vestfold,,6685
Rissa,63.6556,10.0397,Sor Trondelag,minor,6644
Trysil,61.31,12.315,Hedmark,minor,6627
Vestnes,62.6213,7.0897,More og Romsdal,minor,6532
Melhus,63.2856,10.2781,Sor Trondelag,minor,6517
Mesoy,66.7881,13.6758,Nordland,,6288
Bo,59.4572,9.0314,Telemark,minor,6101
Klaebu,63.2761,10.5142,Sor Trondelag,minor,6067
Sandnessjoen,66.0167,12.6333,Nordland,minor,6052
Spydeberg,59.6153,11.0764,Ostfold,minor,6042
Kvinesdal,58.3381,7.0231,Vest Agder,minor,5987
Andebu,59.2972,10.105,Vestfold,,5937
Surnadal,62.9475,8.77,More og Romsdal,minor,5920
Vereide,61.7773,6.2156,Sogn og Fjordane,,5854
Vadso,70.0733,29.7497,Finnmark,minor,5788
Stavern,59,10.0333,Vestfold,,5773
Sveio,59.5736,5.3633,Hordaland,minor,5766
Valer,59.4725,10.9169,Ostfold,minor,5736
Nord Fron,61.5956,9.7481,Oppland,,5723
Tynset,62.2753,10.8325,Hedmark,minor,5578
Vossevangen,60.63,6.441,Hordaland,,5571
Balsfjord,69.3047,19.2036,Troms,,5559
Hobol,59.5931,10.9458,Ostfold,minor,5382
Trogstad,59.6514,11.3397,Ostfold,minor,5347
Frei,63.0625,7.8031,More og Romsdal,,5274
Austevoll,60.0378,5.2683,Hordaland,,5236
Birkenes,58.4494,8.2333,Aust Agder,,5226
Hareid,62.3642,6.0014,More og Romsdal,minor,5175
Oyer,61.2653,10.4133,Oppland,minor,5100
Hitra,63.5472,8.8547,Sor Trondelag,,5050
Sand,60.4422,11.5681,Hedmark,,5016
Odda,60.0689,6.5456,Hordaland,minor,4876
Svolvaer,68.2333,14.5667,Nordland,minor,4686
Al,60.6756,8.5769,Buskerud,minor,4674
Skodje,62.5161,6.6997,More og Romsdal,minor,4620
Gol,60.7503,8.9847,Buskerud,minor,4608
Sauda,59.6875,6.4372,Rogaland,minor,4595
Stranda,62.1667,6.9667,More og Romsdal,minor,4523
Hol,60.615,8.3022,Buskerud,minor,4441
Norheimsund,60.3667,6.1333,Hordaland,minor,4399
Ringebu,61.5356,10.3081,Oppland,minor,4392
Amot,61.1464,11.4158,Hedmark,,4356
Sauar,59.4333,9.2653,Telemark,,4338
Afjord,63.9778,10.3856,Sor Trondelag,,4288
