Sensors,S0,S1,S6,S7,S8,S11,S12,S14
HG3420,83.97,74.57,76.14,74.55,80.82,73.19,76.99,78.65
HG3445,69.86,60.43,62.05,60.43,66.7,59.08,62.89,64.54
HG3835,89.36,73.7,82.43,78.81,84.67,75.72,82.1,84.49
HG3933,91.21,71.25,84.28,79.63,85.66,77.59,83.93,86.33
HG4150,76.68,67.21,45.76,58.18,73.52,65.83,69.17,70.1
HG4162,87.66,78.2,68.62,73.78,84.52,76.81,80.2,81.12
HG4215,90.26,80.82,71.2,76.4,87.11,79.42,82.76,83.7
HG4339b,96.37,66.11,89.64,82.52,86.45,83.06,89.18,91.6
HG4383,90.11,60.58,83.34,76.42,80.07,76.74,82.95,85.28
HG4540,62.41,33.51,55.7,48.94,51.91,49.16,55.25,57.65
HG4576,30.75,4.07,24.08,17.89,20.25,17.49,23.75,25.97
HG4744,31.78,19.9,25.5,22.76,27.77,19.07,25.14,27.36
Tanklevel,507.66,507.66,507.56,507.54,507.42,507.43,507.44,507.49
Demand_HG3302,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.07
Demand_HG3537,0.0,0.0,0.0,0.0,0.0,15.97,6.0,0.0
Demand_HG3880,0.0,15.03,0.0,6.93,0.0,0.0,0.0,0.0
Demand_HG4118,0.0,0.0,12.03,7.06,0.0,0.0,0.0,0.0
Demand_HG4504,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0
